;C_ID;geo;trends;ID;date;GT_DK_0;GT_DK_1;GT_DK_2;GT_DK_3;GT_DK_4;GT_DK_5;GT_DK_6;GT_DK_7;GT_DK_8;GT_DK_9;GT_DK_10;GT_DK_11;GT_DK_12;GT_DK_13;GT_DK_14;GT_DK_15;GT_DK_16;GT_DK_17;GT_DK_18;GT_DK_19;GT_DK_20;GT_DK_21;GT_NO_0;GT_NO_1;GT_NO_2;GT_NO_6;GT_NO_7;GT_NO_8;GT_NO_10;GT_NO_11;GT_SE_0;GT_SE_1;GT_SE_2;GT_SE_5;GT_SE_6;GT_SE_7;GT_SE_8;GT_SE_9;GT_SE_10;GT_SE_11
2371;SE;SE-S;SE-S;Värmland;2004Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;54.0;40.0;26.0;0.0;0.0;27.333333333333332;8.333333333333334;0.0;50.333333333333336;0.0
2372;SE;SE-S;SE-S;Värmland;2005Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.666666666666664;59.666666666666664;34.0;0.0;0.0;72.66666666666667;21.666666666666668;33.333333333333336;26.0;35.333333333333336
2373;SE;SE-S;SE-S;Värmland;2005Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;40.0;40.666666666666664;45.666666666666664;33.333333333333336;0.0;57.666666666666664;13.0;16.0;29.333333333333332;65.0
2374;SE;SE-S;SE-S;Värmland;2005Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.0;32.333333333333336;17.0;0.0;0.0;39.0;22.333333333333332;12.666666666666666;47.0;25.333333333333332
2375;SE;SE-S;SE-S;Värmland;2005Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;27.0;27.333333333333332;21.666666666666668;33.333333333333336;68.66666666666667;10.0;23.0;25.0;34.666666666666664
2376;SE;SE-S;SE-S;Värmland;2006Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.333333333333336;35.666666666666664;22.666666666666668;38.0;0.0;67.66666666666667;31.666666666666668;0.0;29.333333333333332;33.0
2377;SE;SE-S;SE-S;Värmland;2006Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;28.333333333333332;36.333333333333336;27.0;16.333333333333332;0.0;47.0;21.666666666666668;8.666666666666666;22.0;17.666666666666668
2378;SE;SE-S;SE-S;Värmland;2006Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.333333333333336;34.666666666666664;28.666666666666668;19.333333333333332;0.0;37.0;17.666666666666668;7.333333333333333;21.0;27.333333333333332
2379;SE;SE-S;SE-S;Värmland;2006Q4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;34.0;26.333333333333332;8.666666666666666;0.0;18.666666666666668;52.0;24.333333333333332;20.0;29.333333333333332;10.333333333333334
2380;SE;SE-S;SE-S;Värmland;2007Q1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.666666666666664;33.333333333333336;28.0;11.0;0.0;65.66666666666667;17.666666666666668;12.333333333333334;14.666666666666666;11.666666666666666
2381;SE;SE-S;SE-S;Värmland;2007Q2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;44.0;29.0;28.333333333333332;33.0;18.0;60.666666666666664;18.333333333333332;18.333333333333332;21.333333333333332;12.333333333333334
2382;SE;SE-S;SE-S;Värmland;2007Q3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.666666666666664;29.666666666666668;21.666666666666668;21.0;17.0;67.0;21.0;11.333333333333334;18.666666666666668;24.0
