labour_force_share,reg_nr,ID,date,pop,mvu_lvu,mvu_lvu_share,urban_share
70.2,08,Kalmar,2014-04-01,235598,47843,20.30704844693079,77.54735886544259
73.69999999999999,09,Gotland,2014-04-01,57255,12083,21.103833726312114,58.44872444079694
70.6,10,Blekinge,2014-04-01,154157,34598,22.4433532048496,79.63413758671774
75.60000000000001,12,Skåne,2014-04-01,1288908,340390,26.40917738116297,88.58403527947952
77.4,13,Halland,2014-04-01,310665,71968,23.165789516038178,79.27034499338863
75.7,14,Västra Götaland,2014-04-01,1632012,418163,25.622544442075178,83.95605383038757
72.2,17,Värmland,2014-04-01,274691,58104,21.152494985274362,74.40177117450094
71.39999999999999,18,Örebro,2014-04-01,288150,63391,21.99930591705709,82.6681654355351
73.3,19,Västmanland,2014-04-01,261703,57010,21.784236328968333,87.57853423855417
72.1,20,Dalarna,2014-04-01,278903,53801,19.29021918014507,79.92759351301405
69.2,21,Gävleborg,2014-04-01,279991,53684,19.173473433074633,78.28923575448088
73.10000000000001,22,Västernorrland,2014-04-01,243061,50908,20.944536556666847,76.57454920144255
71.6,23,Jämtland,2014-04-01,126765,27159,21.424683469411903,66.36619807247554
74.2,24,Västerbotten,2014-04-01,262362,70614,26.91472088183502,77.56801369915846
71.3,25,Norrbotten,2014-04-01,249987,54629,21.8527363422898,82.22389374479604
77.39999999999999,01,Stockholm,2014-07-01,2198044,706054,32.12192294603748,95.73732331942621
74.7,03,Uppsala,2014-07-01,348942,105587,30.259183474617558,80.50297425881709
72.4,04,Södermanland,2014-07-01,280666,55699,19.845296544647375,82.36671616101175
73.89999999999999,05,Östergötland,2014-07-01,442105,109222,24.704990895827912,84.36395883084056
74.89999999999999,06,Jönköping,2014-07-01,344262,70195,20.38999366761362,82.52005248377692
76.0,07,Kronoberg,2014-07-01,189128,42000,22.20718243729115,77.95313689246494
72.60000000000001,08,Kalmar,2014-07-01,235598,47843,20.30704844693079,77.54735886544259
73.80000000000001,09,Gotland,2014-07-01,57255,12083,21.103833726312114,58.44872444079694
71.39999999999999,10,Blekinge,2014-07-01,154157,34598,22.4433532048496,79.63413758671774
