date,target_actual,ID,jobs,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other,population,high_edu_share,labour_force_share,urban_share,country,GT_DK_0,GT_DK_1,GT_DK_2,GT_DK_3,GT_DK_4,GT_DK_5,GT_DK_6,GT_DK_7,GT_DK_8,GT_DK_9,GT_DK_10,GT_DK_11,GT_DK_12,GT_DK_13,GT_DK_14,GT_DK_15,GT_DK_16,GT_DK_17,GT_DK_18,GT_DK_19,GT_DK_20,GT_DK_21
2013-07-01,7.69,Southern Denmark,1.2993079584775087,0.0527681660899654,0.12024221453287197,0.17058823529411765,0.19550173010380623,0.1809688581314879,0.1245674740484429,0.13062283737024222,0.157439446366782,0.22058823529411764,0.17491349480968857,1201365,13.210389848214323,45.79600620960324,83.50860950537634,DK,65.65,69.23,76.83,56.94,78.41,44.17,36.76,54.86,31.73,60.2,67.35,48.16,61.32,17.05,47.92,12.72,73.99,49.46,28.57,63.89,56.68,34.8
2013-10-01,7.84,Southern Denmark,1.4325174825174825,0.05751748251748252,0.14055944055944056,0.20174825174825176,0.16311188811188812,0.18146853146853145,0.14265734265734265,0.15786713286713286,0.20174825174825176,0.2715034965034965,0.19458041958041958,1201448,13.209477230808158,45.25781307222618,83.49824603760013,DK,82.82,56.28,67.95,56.25,62.88,36.67,38.97,50.0,26.92,50.68,56.73,49.8,60.38,16.67,54.34,12.28,43.05,47.31,30.67,62.15,49.1,66.08
2014-01-01,8.39,Southern Denmark,1.887344028520499,0.07932263814616755,0.18698752228163992,0.22655971479500892,0.24581105169340461,0.25490196078431376,0.18342245989304815,0.16221033868092694,0.2561497326203208,0.35632798573975044,0.24884135472370764,1201955,13.203905304275118,45.483245213007145,83.52713761972906,DK,87.4,65.18,80.31,64.58,83.71,47.08,52.21,60.42,32.69,57.14,65.71,65.31,73.58,19.32,52.45,12.28,26.01,60.22,31.93,68.06,62.09,51.1
2014-04-01,6.75,Southern Denmark,1.947142857142857,0.06553571428571428,0.16589285714285715,0.22089285714285714,0.26285714285714284,0.24142857142857144,0.17642857142857143,0.27660714285714283,0.2430357142857143,0.3269642857142857,0.2567857142857143,1202509,13.197822220041598,45.647135281316004,83.54866100544437,DK,59.54,56.68,73.36,56.25,73.48,40.0,44.12,51.04,28.85,46.26,64.08,62.45,61.32,22.35,46.42,11.84,54.71,54.48,30.25,70.49,53.79,32.16
2014-07-01,6.88,Southern Denmark,1.7039076376554174,0.0566607460035524,0.16678507992895206,0.21776198934280638,0.24049733570159856,0.24458259325044404,0.1689165186500888,0.1902309058614565,0.2230905861456483,0.2872113676731794,0.19982238010657194,1203077,13.505868701670794,45.44428910202755,83.6045571832827,DK,55.34,64.37,82.24,55.21,87.12,49.17,28.68,59.38,25.96,52.04,71.43,61.63,64.62,19.32,55.09,13.16,50.67,42.29,28.57,67.71,59.21,33.04
2014-10-01,6.64,Southern Denmark,1.8035273368606701,0.0747795414462081,0.1751322751322751,0.24938271604938272,0.1890652557319224,0.18395061728395062,0.17742504409171075,0.24656084656084656,0.2689594356261023,0.3289241622574956,0.23827160493827163,1204111,13.494270877020474,45.8619587396843,83.62215605786977,DK,62.98,61.54,72.97,45.14,70.83,47.92,41.91,52.08,20.19,47.28,60.82,70.2,70.75,18.94,43.4,12.28,54.71,46.24,29.41,61.46,50.9,56.83
2015-01-01,6.96,Southern Denmark,2.0562937062937063,0.08811188811188811,0.18513986013986014,0.25786713286713286,0.25944055944055944,0.25576923076923075,0.21853146853146854,0.1874125874125874,0.2947552447552447,0.3629370629370629,0.3062937062937063,1205025,13.484035600921144,45.44801975062757,83.60452651168977,DK,75.19,76.52,84.17,50.69,88.26,52.08,43.38,58.33,20.19,55.78,75.51,75.51,70.28,23.86,46.42,16.23,52.02,59.86,30.25,78.47,53.43,46.26
2015-04-01,5.63,Southern Denmark,1.9817391304347824,0.07043478260869565,0.16956521739130434,0.23513043478260867,0.2619130434782609,0.27617391304347827,0.18034782608695651,0.2584347826086957,0.27060869565217394,0.30869565217391304,0.28156521739130436,1205728,13.47617373072534,45.752607553279006,83.64274126068594,DK,70.61,65.18,78.38,43.75,81.06,37.92,37.5,50.35,18.27,46.26,66.53,64.49,54.72,16.29,47.55,12.72,43.5,45.16,29.41,61.46,42.96,40.97
2015-07-01,6.53,Southern Denmark,1.656161971830986,0.07183098591549296,0.15809859154929579,0.2188380281690141,0.22693661971830986,0.24859154929577468,0.15440140845070421,0.1709507042253521,0.24929577464788732,0.23943661971830987,0.2176056338028169,1206924,13.848759325359348,45.76792656372729,83.66351046015745,DK,51.15,72.87,84.56,48.26,82.2,50.83,30.88,50.69,17.31,48.64,66.94,61.63,53.77,16.29,49.81,12.28,39.01,35.84,29.41,63.54,45.13,46.26
2015-10-01,6.12,Southern Denmark,1.8074074074074076,0.08130511463844797,0.1763668430335097,0.2506172839506173,0.22522045855379189,0.23403880070546737,0.19294532627865962,0.20458553791887127,0.28271604938271605,0.30246913580246915,0.2132275132275132,1208520,13.830470327342534,46.01535431767782,83.66214664771421,DK,58.02,68.42,83.01,42.01,78.41,38.75,33.09,46.88,18.27,43.54,68.16,72.65,54.25,14.77,44.91,12.28,50.22,39.78,29.41,59.38,39.35,53.3
2016-01-01,5.63,Southern Denmark,1.9895104895104896,0.08444055944055943,0.1846153846153846,0.25786713286713286,0.29877622377622376,0.27062937062937065,0.21031468531468533,0.17604895104895105,0.3073426573426573,0.3632867132867133,0.24353146853146854,1210297,13.810163951492898,45.76221373761978,83.66478585641288,DK,71.76,76.92,92.66,45.83,91.29,40.0,44.12,45.49,15.38,37.07,66.53,61.63,57.55,13.64,33.96,12.28,27.35,44.09,23.53,61.46,36.82,56.83
2016-04-01,6.36,Southern Denmark,2.204401408450704,0.08538732394366197,0.17605633802816903,0.2623239436619718,0.3019366197183099,0.34753521126760567,0.188556338028169,0.26443661971830984,0.30088028169014086,0.3778169014084507,0.2846830985915493,1211770,13.793376630878795,46.26914018336814,83.68191555975197,DK,59.16,62.35,84.56,40.62,96.59,45.42,45.59,38.54,13.46,29.25,62.45,64.9,56.13,9.47,29.81,11.4,43.95,34.41,23.53,65.97,27.44,37.0
