date,target_actual,ID,target_lag,jobs,sector_information_technology,sector_engineering_technology,sector_management_staff,sector_trade_service,sector_industry_craft,sector_sales_communication,sector_teaching,sector_office_finance,sector_social_health,sector_other,pop,mvu_lvu_share_pop,labour_force_share,w_ave_socio_index,w_ave_urban_index,GT_DK_0,GT_DK_1,GT_DK_2,GT_DK_3,GT_DK_4,GT_DK_5,GT_DK_6,GT_DK_7,GT_DK_8,GT_DK_9,GT_DK_10,GT_DK_11,GT_DK_12,GT_DK_13,GT_DK_14,GT_DK_15,GT_DK_16,GT_DK_17,GT_DK_18,GT_DK_19,GT_DK_20,GT_DK_21
2013-06-01,5.2,North Denmark,5.5,0.4901160430170735,0.01646191289522995,0.028060078798687414,0.04601852922984736,0.07669754871641227,0.0662217859649023,0.038161707166214885,0.08567677393199223,0.050134007453654844,0.08043889255623726,0.07407860802853478,579849.0,12.806954914124196,46.095386902452184,0.966853134305698,80.50857064480402,44.0,24.0,64.0,71.0,51.55,34.74,17.24,76.0,10.77,63.0,55.21,30.0,16.3,24.24,39.0,18.0,20.0,49.0,24.0,39.0,40.0,9.0
2013-07-01,4.8,North Denmark,5.2,0.3709216270617247,0.010085482306814268,0.0254004739579026,0.041089001990724794,0.06013935745915175,0.05490984811487768,0.033244737974313696,0.04482436580806341,0.041089001990724794,0.06686301233036125,0.05266862982447452,579849.0,13.082716362363305,46.16918197668703,0.966853134305698,80.508570644804,39.0,33.0,55.0,62.0,55.67,42.11,6.9,66.0,7.69,63.0,52.08,30.0,18.48,27.27,36.0,9.0,56.0,48.0,16.0,34.0,37.0,20.0
2013-08-01,5.1,North Denmark,4.8,0.4307610402139279,0.016148844576459372,0.03530212535319026,0.050699860879581754,0.06647315093100718,0.055957624230056895,0.04393987942897085,0.06046427853046416,0.04243766132883509,0.07210646880651626,0.06196649663059992,579864.0,13.082377936895547,45.91989156077978,0.9668501911113796,80.50976143432759,37.0,22.0,59.0,81.0,45.36,30.53,10.34,94.0,10.77,65.0,53.12,32.0,33.7,16.16,26.0,13.0,20.0,45.0,23.0,46.0,40.0,14.0
2013-09-01,5.1,North Denmark,5.1,0.4197114185810858,0.014252934679250456,0.029631101043704897,0.0566366614886005,0.05738681594540315,0.05438619811819253,0.04050834066734341,0.053636043661389875,0.0472597307785673,0.07201482785305494,0.07426529122346291,579864.0,13.082377936895547,45.97832595229226,0.9529964366140068,80.50976143432759,49.0,43.0,66.0,65.0,48.45,29.47,10.34,83.0,9.23,61.0,58.33,27.0,28.26,27.27,31.0,15.0,45.0,51.0,21.0,54.0,38.0,22.0
2013-10-01,5.3,North Denmark,5.1,0.4631986438021465,0.01828906812756259,0.037324628831760395,0.04852201748128851,0.07726198168174402,0.052627726652782154,0.045909293463065284,0.045909293463065284,0.05486720438268778,0.07688873539342642,0.08211418342987287,579864.0,13.082377936895547,46.203870217844184,0.9529964366140068,80.50976143432759,58.0,31.0,58.0,52.0,47.42,31.58,12.07,80.0,9.23,60.0,43.75,16.0,33.7,32.32,52.0,19.0,32.0,51.0,22.0,42.0,54.0,23.0
2013-11-01,5.6,North Denmark,5.3,0.45676044365837365,0.018796726076476283,0.029322892679303,0.057893916315546946,0.05676611275095837,0.04924742232036786,0.04511214258354308,0.059397654401665057,0.058645785358606,0.09060021968861569,0.0672922793537851,580886.0,13.059361045024323,45.79276656693396,0.9530081135272621,80.52000583235264,56.0,37.0,62.0,61.0,51.55,29.47,17.24,75.0,9.23,57.0,50.0,28.0,30.43,23.23,38.0,12.0,27.0,62.0,25.0,46.0,37.0,20.0
2013-12-01,5.9,North Denmark,5.6,0.34338790636581135,0.012759769198292442,0.024768963737861804,0.042032180888492754,0.04128160622976967,0.031899422995731105,0.03940516958296195,0.04728620349955435,0.045785054182108174,0.06004597269784679,0.05066378946380823,580886.0,13.059361045024323,45.87173731162397,0.9530081135272621,80.52000583235264,55.0,19.0,41.0,37.0,27.84,18.95,13.79,60.0,9.23,42.0,48.96,32.0,20.65,32.32,36.0,14.0,30.0,65.0,25.0,46.0,46.0,52.0
2014-01-01,6.3,North Denmark,5.9,0.5915577038392874,0.015947950636419662,0.03560472700223924,0.07380563201505842,0.09123711294323805,0.06082474196215871,0.05489062079511883,0.07751445774445834,0.06972592371271852,0.12127860135137741,0.08975358265147809,580886.0,13.059361045024323,46.4165292329304,0.9530081135272621,80.52000583235264,43.0,36.0,71.0,77.0,60.82,29.47,15.52,85.0,9.23,61.0,61.46,46.0,31.52,20.2,26.0,19.0,25.0,52.0,20.0,47.0,53.0,31.0
2014-02-01,6.3,North Denmark,6.3,0.4919382414944119,0.02151766063851877,0.04155134468127762,0.0645529819155563,0.060843040426156514,0.07605380053269564,0.047116256915377304,0.060843040426156514,0.05639111063887677,0.09052257234135482,0.060101052128276565,581057.0,13.055517789132564,46.38891365218903,0.9528617733993541,80.56800944198034,33.0,42.0,70.0,76.0,51.55,24.21,12.07,85.0,9.23,63.0,60.42,33.0,27.17,30.3,35.0,21.0,31.0,51.0,22.0,48.0,55.0,23.0
2014-03-01,5.9,North Denmark,6.3,0.5925838356306442,0.01898352739771536,0.04094486301468019,0.06178952054942646,0.10087325342707575,0.07183962328939342,0.0543450000013028,0.0521116438368657,0.06402287671386357,0.13251246575660133,0.09454541096117063,581057.0,13.055517789132564,46.23538998755714,0.9528617733993541,80.56800944198034,37.0,44.0,70.0,53.0,68.04,31.58,15.52,78.0,10.77,56.0,57.29,22.0,26.09,23.23,29.0,12.0,28.0,58.0,24.0,47.0,53.0,20.0
