date,labour_force,ID
2011-12-01,379120.0,Zealand
2011-12-01,859261.67,Capital
2012-01-01,377124.19,Zealand
2012-01-01,850124.59,Capital
2012-01-01,555350.0,Southern Denmark
2012-01-01,610401.85,Central Denmark
2012-01-01,274000.0,North Denmark
2012-02-01,268841.67,North Denmark
2012-02-01,609883.05,Central Denmark
2012-02-01,555372.86,Southern Denmark
2012-02-01,860101.59,Capital
2012-02-01,376794.03,Zealand
2012-03-01,375038.03,Zealand
2012-03-01,270122.97,North Denmark
2012-03-01,609770.49,Central Denmark
2012-03-01,551291.78,Southern Denmark
2012-03-01,862868.75,Capital
2012-04-01,604176.27,Central Denmark
2012-04-01,552636.23,Southern Denmark
2012-04-01,272095.65,North Denmark
2012-04-01,856759.38,Capital
2012-04-01,373566.67,Zealand
2012-05-01,371970.31,Zealand
2012-05-01,272221.31,North Denmark
2012-05-01,602222.22,Central Denmark
2012-05-01,549441.27,Southern Denmark
2012-05-01,858768.85,Capital
2012-06-01,269803.28,North Denmark
2012-06-01,611657.41,Central Denmark
2012-06-01,552221.87,Southern Denmark
2012-06-01,861536.51,Capital
2012-06-01,372146.15,Zealand
2012-07-01,270855.17,North Denmark
2012-07-01,555896.72,Southern Denmark
2012-07-01,603941.51,Central Denmark
2012-07-01,375732.26,Zealand
2012-07-01,866600.0,Capital
2012-08-01,552760.38,Southern Denmark
2012-08-01,374566.67,Zealand
2012-08-01,860121.05,Capital
2012-08-01,272005.88,North Denmark
2012-08-01,606932.61,Central Denmark
2012-09-01,612620.0,Central Denmark
2012-09-01,547700.0,Southern Denmark
2012-09-01,857634.43,Capital
2012-09-01,371407.02,Zealand
2012-09-01,268820.0,North Denmark
2012-10-01,268346.43,North Denmark
2012-10-01,608154.9,Central Denmark
2012-10-01,555245.76,Southern Denmark
2012-10-01,856448.39,Capital
2012-10-01,376536.21,Zealand
2012-11-01,377272.88,Zealand
2012-11-01,555688.33,Southern Denmark
2012-11-01,611896.08,Central Denmark
2012-11-01,269275.44,North Denmark
2012-11-01,861093.55,Capital
2012-12-01,372651.61,Zealand
2012-12-01,864273.02,Capital
2012-12-01,548685.71,Southern Denmark
2012-12-01,605692.45,Central Denmark
2012-12-01,272077.97,North Denmark
2013-01-01,864075.0,Capital
2013-01-01,555045.45,Southern Denmark
2013-01-01,608100.0,Central Denmark
2013-01-01,270216.92,North Denmark
2013-01-01,374309.23,Zealand
2013-02-01,266252.86,North Denmark
2013-02-01,609045.76,Central Denmark
2013-02-01,371025.0,Zealand
2013-02-01,871352.31,Capital
2013-02-01,550210.0,Southern Denmark
2013-03-01,605962.71,Central Denmark
2013-03-01,550115.94,Southern Denmark
2013-03-01,873932.81,Capital
2013-03-01,369308.82,Zealand
2013-03-01,268189.71,North Denmark
2013-04-01,267890.77,North Denmark
2013-04-01,861760.94,Capital
2013-04-01,368787.88,Zealand
2013-04-01,609601.75,Central Denmark
2013-04-01,545162.69,Southern Denmark
2013-05-01,602584.91,Central Denmark
2013-05-01,545272.13,Southern Denmark
2013-05-01,869461.67,Capital
2013-05-01,374083.33,Zealand
2013-05-01,267875.86,North Denmark
2013-06-01,368565.0,Zealand
2013-06-01,866316.39,Capital
2013-06-01,549837.29,Southern Denmark
2013-06-01,608117.65,Central Denmark
2013-06-01,267283.64,North Denmark
2013-07-01,550177.19,Southern Denmark
2013-07-01,865981.97,Capital
2013-07-01,369000.0,Zealand
2013-07-01,267711.54,North Denmark
2013-07-01,602194.0,Central Denmark
2013-08-01,266272.92,North Denmark
2013-08-01,612006.82,Central Denmark
2013-08-01,544419.61,Southern Denmark
2013-08-01,866101.75,Capital
2013-08-01,370319.61,Zealand
2013-09-01,609014.89,Central Denmark
2013-09-01,266611.76,North Denmark
2013-09-01,545137.04,Southern Denmark
2013-09-01,875831.03,Capital
2013-09-01,368265.38,Zealand
2013-10-01,543749.09,Southern Denmark
2013-10-01,861647.46,Capital
2013-10-01,373549.06,Zealand
2013-10-01,602965.96,Central Denmark
2013-10-01,267919.61,North Denmark
2013-11-01,868635.59,Capital
2013-11-01,266003.77,North Denmark
2013-11-01,374805.56,Zealand
2013-11-01,607161.7,Central Denmark
2013-11-01,544285.71,Southern Denmark
2013-12-01,865201.67,Capital
2013-12-01,370741.07,Zealand
2013-12-01,266462.5,North Denmark
2013-12-01,600671.43,Central Denmark
2013-12-01,546066.67,Southern Denmark
2014-01-01,601658.82,Central Denmark
2014-01-01,546688.14,Southern Denmark
2014-01-01,873503.33,Capital
2014-01-01,369701.72,Zealand
2014-01-01,269627.12,North Denmark
2014-02-01,269546.03,North Denmark
2014-02-01,610784.62,Central Denmark
2014-02-01,546728.33,Southern Denmark
2014-02-01,869771.19,Capital
2014-02-01,372406.9,Zealand
2014-03-01,268653.97,North Denmark
2014-03-01,605521.15,Central Denmark
2014-03-01,549157.63,Southern Denmark
2014-03-01,877243.1,Capital
2014-03-01,368947.46,Zealand
2014-04-01,881780.36,Capital
2014-04-01,548910.91,Southern Denmark
2014-04-01,601981.63,Central Denmark
2014-04-01,266927.12,North Denmark
2014-04-01,374469.09,Zealand
2014-05-01,372560.0,Zealand
2014-05-01,877273.08,Capital
2014-05-01,601975.0,Central Denmark
2014-05-01,267073.08,North Denmark
2014-05-01,546293.88,Southern Denmark
2014-06-01,605037.21,Central Denmark
2014-06-01,877300.0,Capital
2014-06-01,267129.41,North Denmark
2014-06-01,372304.0,Zealand
2014-06-01,553400.0,Southern Denmark
2014-07-01,608511.9,Central Denmark
2014-07-01,546729.79,Southern Denmark
2014-07-01,878730.19,Capital
2014-07-01,370859.18,Zealand
2014-07-01,269020.41,North Denmark
2014-08-01,267556.52,North Denmark
2014-08-01,607615.38,Central Denmark
2014-08-01,552664.29,Southern Denmark
2014-08-01,871562.0,Capital
2014-08-01,370104.55,Zealand
2014-09-01,269540.82,North Denmark
2014-09-01,613487.8,Central Denmark
2014-09-01,546180.0,Southern Denmark
2014-09-01,367578.26,Zealand
2014-09-01,867705.77,Capital
2014-10-01,265270.0,North Denmark
2014-10-01,552228.89,Southern Denmark
2014-10-01,606445.0,Central Denmark
2014-10-01,367878.72,Zealand
2014-10-01,879611.76,Capital
2014-11-01,371861.7,Zealand
2014-11-01,551569.57,Southern Denmark
2014-11-01,609825.0,Central Denmark
2014-11-01,270262.0,North Denmark
2014-11-01,866888.46,Capital
2014-12-01,368658.33,Zealand
2014-12-01,873357.69,Capital
2014-12-01,553182.98,Southern Denmark
2014-12-01,602765.85,Central Denmark
2014-12-01,265350.94,North Denmark
2015-01-01,547660.0,Southern Denmark
2015-01-01,867937.74,Capital
2015-01-01,371162.0,Zealand
2015-01-01,266933.93,North Denmark
2015-01-01,603188.37,Central Denmark
2015-02-01,371685.19,Zealand
2015-02-01,549816.67,Southern Denmark
2015-02-01,267593.44,North Denmark
2015-02-01,880203.7,Capital
