;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
130;Capital Region of Denmark;DK-84;2008-03-01;48;100;100;77;61;32;28;66;66;57;91;74;45;62;33;58;0;59;52;75;83;15;Capital;DK-84
131;Central Denmark Region;DK-82;2008-03-01;56;90;84;51;58;18;39;78;71;97;81;100;38;19;45;71;0;75;64;99;81;59;Central Denmark;DK-82
132;North Denmark Region;DK-81;2008-03-01;63;43;87;81;79;100;100;82;66;100;100;75;0;0;39;40;0;92;64;95;0;100;North Denmark;DK-81
133;Region Syddanmark;DK-83;2008-03-01;69;78;94;66;100;40;12;79;67;92;50;68;31;92;46;96;0;57;100;100;100;37;Southern Denmark;DK-83
134;Region Zealand;DK-85;2008-03-01;100;76;88;100;92;49;26;100;100;88;78;0;100;100;100;100;0;100;96;68;86;0;Zealand;DK-85
135;Capital Region of Denmark;DK-84;2008-04-01;37;100;81;81;66;62;37;70;53;51;85;70;36;44;40;70;74;52;54;68;41;32;Capital;DK-84
136;Central Denmark Region;DK-82;2008-04-01;75;86;82;62;61;54;32;76;47;80;100;83;100;30;49;100;100;55;71;100;55;100;Central Denmark;DK-82
137;North Denmark Region;DK-81;2008-04-01;94;91;100;81;100;100;0;81;40;100;81;100;82;100;81;88;0;69;81;89;100;0;North Denmark;DK-81
138;Region Syddanmark;DK-83;2008-04-01;93;48;73;100;69;44;0;100;71;85;24;54;59;91;100;85;0;62;100;86;24;42;Southern Denmark;DK-83
139;Region Zealand;DK-85;2008-04-01;100;41;83;76;98;31;100;92;100;68;74;100;0;0;44;79;0;100;86;81;27;88;Zealand;DK-85
140;Capital Region of Denmark;DK-84;2008-05-01;24;100;100;89;97;51;71;78;98;41;100;47;32;40;51;81;18;72;63;61;55;14;Capital;DK-84
141;Central Denmark Region;DK-82;2008-05-01;35;52;85;75;96;50;45;81;94;64;60;23;33;15;63;100;37;88;100;80;91;59;Central Denmark;DK-82
142;North Denmark Region;DK-81;2008-05-01;100;100;97;90;96;42;100;100;46;100;45;100;0;100;84;79;0;78;100;62;0;100;North Denmark;DK-81
143;Region Syddanmark;DK-83;2008-05-01;31;91;92;100;100;84;36;96;93;78;57;37;100;18;100;85;46;64;99;80;100;36;Southern Denmark;DK-83
144;Region Zealand;DK-85;2008-05-01;53;30;97;90;38;100;0;85;100;80;36;99;88;0;67;49;100;100;94;100;92;0;Zealand;DK-85
145;Capital Region of Denmark;DK-84;2008-06-01;41;98;90;56;77;37;24;78;58;45;100;41;35;78;55;59;17;73;47;80;45;41;Capital;DK-84
146;Central Denmark Region;DK-82;2008-06-01;44;91;100;62;50;59;13;80;60;74;72;24;38;39;45;86;19;86;50;100;66;0;Central Denmark;DK-82
147;North Denmark Region;DK-81;2008-06-01;100;97;100;77;99;100;0;90;46;100;55;100;0;100;100;100;0;54;100;91;100;100;North Denmark;DK-81
