;geoName;geoCode;date;GT_DK_0_cross;GT_DK_1_cross;GT_DK_2_cross;GT_DK_3_cross;GT_DK_4_cross;GT_DK_5_cross;GT_DK_6_cross;GT_DK_7_cross;GT_DK_8_cross;GT_DK_9_cross;GT_DK_10_cross;GT_DK_11_cross;GT_DK_12_cross;GT_DK_13_cross;GT_DK_14_cross;GT_DK_15_cross;GT_DK_16_cross;GT_DK_17_cross;GT_DK_18_cross;GT_DK_19_cross;GT_DK_20_cross;GT_DK_21_cross;ID;trends
233;Region Syddanmark;DK-83;2009-11-01;53;100;92;93;100;57;100;90;80;88;93;96;100;35;79;50;100;67;100;58;59;82;Southern Denmark;DK-83
234;Region Zealand;DK-85;2009-11-01;79;83;81;90;87;47;60;88;100;93;83;49;89;78;100;100;0;100;100;45;100;0;Zealand;DK-85
235;Capital Region of Denmark;DK-84;2009-12-01;92;87;100;63;68;35;51;64;84;59;79;65;45;100;33;81;43;68;42;59;73;71;Capital;DK-84
236;Central Denmark Region;DK-82;2009-12-01;77;100;87;90;54;66;67;76;73;78;70;66;78;26;42;52;100;65;75;60;100;67;Central Denmark;DK-82
237;North Denmark Region;DK-81;2009-12-01;53;96;95;81;100;100;0;73;63;100;67;0;43;79;100;89;0;80;100;59;60;100;North Denmark;DK-81
238;Region Syddanmark;DK-83;2009-12-01;44;58;98;74;60;82;100;75;76;92;100;100;71;64;82;100;41;100;88;58;74;42;Southern Denmark;DK-83
239;Region Zealand;DK-85;2009-12-01;100;65;91;100;34;0;75;100;100;95;76;29;100;73;59;62;96;91;71;100;57;93;Zealand;DK-85
240;Capital Region of Denmark;DK-84;2010-01-01;65;82;98;85;86;32;88;70;97;55;100;75;96;98;58;62;43;62;46;75;36;50;Capital;DK-84
241;Central Denmark Region;DK-82;2010-01-01;100;81;99;75;100;36;58;78;81;74;89;85;86;100;100;86;100;100;49;82;53;34;Central Denmark;DK-82
242;North Denmark Region;DK-81;2010-01-01;65;63;96;100;98;100;100;100;100;100;50;100;100;91;88;100;0;91;100;83;100;100;North Denmark;DK-81
243;Region Syddanmark;DK-83;2010-01-01;100;62;98;90;83;46;63;88;94;82;68;80;76;50;83;58;0;82;72;85;44;64;Southern Denmark;DK-83
244;Region Zealand;DK-85;2010-01-01;76;100;100;88;61;57;0;93;93;84;59;76;58;58;86;61;0;63;29;100;54;99;Zealand;DK-85
245;Capital Region of Denmark;DK-84;2010-02-01;56;100;97;74;40;90;50;73;84;53;99;74;39;100;69;47;47;87;66;84;64;100;Capital;DK-84
246;Central Denmark Region;DK-82;2010-02-01;57;92;79;79;62;79;94;89;71;73;95;100;60;69;49;58;47;95;59;100;72;24;Central Denmark;DK-82
247;North Denmark Region;DK-81;2010-02-01;84;86;83;63;54;97;100;73;100;100;68;31;39;58;43;37;92;100;68;78;49;70;North Denmark;DK-81
248;Region Syddanmark;DK-83;2010-02-01;48;79;81;100;46;42;54;92;95;82;97;40;34;100;100;47;100;81;81;80;99;60;Southern Denmark;DK-83
249;Region Zealand;DK-85;2010-02-01;100;88;100;80;100;100;77;100;97;92;100;48;100;60;74;100;94;70;100;83;100;0;Zealand;DK-85
250;Capital Region of Denmark;DK-84;2010-03-01;64;93;92;95;61;43;27;64;53;60;94;49;67;100;58;75;21;61;77;83;57;34;Capital;DK-84
251;Central Denmark Region;DK-82;2010-03-01;61;100;80;92;57;56;63;58;41;79;88;59;49;93;60;84;16;72;96;100;61;47;Central Denmark;DK-82
252;North Denmark Region;DK-81;2010-03-01;36;82;100;89;48;100;100;74;72;100;100;47;73;55;48;100;49;91;100;87;96;0;North Denmark;DK-81
253;Region Syddanmark;DK-83;2010-03-01;36;79;78;88;54;71;55;74;52;88;74;100;21;94;69;78;21;100;86;91;93;100;Southern Denmark;DK-83
254;Region Zealand;DK-85;2010-03-01;100;78;85;100;100;0;59;100;100;99;92;36;100;57;100;86;100;89;86;99;100;48;Zealand;DK-85
255;Capital Region of Denmark;DK-84;2010-04-01;55;86;94;75;50;46;33;71;75;59;100;62;95;55;36;87;26;54;60;91;50;63;Capital;DK-84
256;Central Denmark Region;DK-82;2010-04-01;98;100;85;100;58;37;100;67;77;78;84;45;77;39;39;93;17;60;100;100;100;49;Central Denmark;DK-82
257;North Denmark Region;DK-81;2010-04-01;100;82;100;78;63;100;34;68;79;100;70;71;75;85;100;60;100;100;80;73;45;94;North Denmark;DK-81
258;Region Syddanmark;DK-83;2010-04-01;30;92;79;92;64;48;30;100;84;95;93;52;100;100;78;100;0;94;89;81;69;83;Southern Denmark;DK-83
259;Region Zealand;DK-85;2010-04-01;35;74;85;98;100;19;72;78;100;91;81;100;79;60;40;96;0;67;64;80;47;100;Zealand;DK-85
260;Capital Region of Denmark;DK-84;2010-05-01;61;98;92;58;65;45;56;73;81;51;100;100;73;73;66;70;24;67;54;54;47;39;Capital;DK-84
261;Central Denmark Region;DK-82;2010-05-01;79;100;91;87;48;17;100;77;72;74;89;84;49;35;72;100;25;85;63;56;73;0;Central Denmark;DK-82
262;North Denmark Region;DK-81;2010-05-01;91;30;85;100;100;100;0;76;75;100;79;80;0;100;82;75;47;98;53;100;93;100;North Denmark;DK-81
263;Region Syddanmark;DK-83;2010-05-01;100;76;100;63;72;41;35;100;82;80;70;66;92;33;100;66;0;100;100;54;82;44;Southern Denmark;DK-83
264;Region Zealand;DK-85;2010-05-01;81;43;87;61;74;31;56;82;100;74;55;99;100;54;66;98;100;81;41;72;100;72;Zealand;DK-85
265;Capital Region of Denmark;DK-84;2010-06-01;44;69;97;90;57;55;59;77;95;56;78;76;42;81;70;58;20;67;66;60;71;54;Capital;DK-84
266;Central Denmark Region;DK-82;2010-06-01;76;61;90;100;39;89;29;77;86;77;65;74;59;35;71;100;20;67;91;65;85;100;Central Denmark;DK-82
267;North Denmark Region;DK-81;2010-06-01;49;100;96;73;35;100;100;100;49;88;100;100;100;89;53;25;100;87;89;64;36;0;North Denmark;DK-81
268;Region Syddanmark;DK-83;2010-06-01;42;40;100;73;100;56;93;96;100;100;71;37;52;100;100;52;44;100;91;90;100;63;Southern Denmark;DK-83
269;Region Zealand;DK-85;2010-06-01;100;60;90;71;70;30;90;78;95;68;72;45;72;54;73;91;90;61;100;100;32;0;Zealand;DK-85
270;Capital Region of Denmark;DK-84;2010-07-01;76;94;94;68;57;70;78;72;78;65;100;77;24;39;61;100;11;39;62;76;40;38;Capital;DK-84
271;Central Denmark Region;DK-82;2010-07-01;90;82;100;100;55;37;45;83;51;96;86;56;10;45;51;68;30;47;67;93;73;100;Central Denmark;DK-82
272;North Denmark Region;DK-81;2010-07-01;100;100;64;79;44;100;100;70;42;98;99;56;100;100;0;66;100;38;83;91;97;0;North Denmark;DK-81
273;Region Syddanmark;DK-83;2010-07-01;37;55;90;78;100;91;55;100;90;97;79;69;37;30;73;48;46;100;100;58;89;41;Southern Denmark;DK-83
274;Region Zealand;DK-85;2010-07-01;0;99;95;74;70;88;0;96;100;100;87;100;29;29;100;86;44;53;42;100;100;98;Zealand;DK-85
275;Capital Region of Denmark;DK-84;2010-08-01;76;96;88;72;50;73;51;80;64;57;84;37;54;58;43;40;62;65;51;78;47;33;Capital;DK-84
276;Central Denmark Region;DK-82;2010-08-01;28;100;72;68;44;62;79;75;56;73;61;90;21;45;22;49;58;57;48;93;65;42;Central Denmark;DK-82
277;North Denmark Region;DK-81;2010-08-01;100;87;100;78;43;67;100;99;63;100;100;100;100;100;57;100;100;77;100;100;58;100;North Denmark;DK-81
278;Region Syddanmark;DK-83;2010-08-01;76;75;80;73;54;100;36;100;66;74;50;51;44;28;60;35;89;100;56;94;85;70;Southern Denmark;DK-83
279;Region Zealand;DK-85;2010-08-01;58;67;78;100;100;44;87;76;100;71;68;75;65;35;100;87;88;53;40;79;100;86;Zealand;DK-85
280;Capital Region of Denmark;DK-84;2010-09-01;42;79;100;78;57;51;46;81;88;59;100;100;64;100;67;57;14;72;39;81;38;62;Capital;DK-84
281;Central Denmark Region;DK-82;2010-09-01;46;72;96;89;49;72;29;86;62;88;91;77;44;76;73;72;32;69;52;100;86;58;Central Denmark;DK-82
282;North Denmark Region;DK-81;2010-09-01;100;100;92;68;31;100;100;69;57;100;80;67;43;87;85;44;36;100;100;80;54;100;North Denmark;DK-81
283;Region Syddanmark;DK-83;2010-09-01;29;65;94;100;51;77;0;90;77;88;51;71;46;62;100;100;39;66;74;62;87;71;Southern Denmark;DK-83
284;Region Zealand;DK-85;2010-09-01;55;46;82;96;100;46;92;100;100;75;91;76;100;81;52;81;100;99;86;84;100;91;Zealand;DK-85
285;Capital Region of Denmark;DK-84;2010-10-01;78;100;90;68;64;88;24;69;51;66;85;85;68;66;50;61;47;95;51;69;82;80;Capital;DK-84
286;Central Denmark Region;DK-82;2010-10-01;84;73;84;97;65;99;24;72;37;87;80;64;88;100;36;69;100;97;29;91;71;32;Central Denmark;DK-82
287;North Denmark Region;DK-81;2010-10-01;72;76;76;58;45;85;81;77;40;100;100;100;100;69;54;54;0;72;100;100;49;0;North Denmark;DK-81
288;Region Syddanmark;DK-83;2010-10-01;78;74;76;92;74;100;34;100;54;94;87;29;73;50;68;72;99;100;66;88;100;100;Southern Denmark;DK-83
289;Region Zealand;DK-85;2010-10-01;100;70;100;100;100;59;100;91;100;89;31;37;93;0;100;100;0;75;33;93;60;0;Zealand;DK-85
290;Capital Region of Denmark;DK-84;2010-11-01;47;88;100;65;100;45;74;74;83;58;100;86;91;69;96;43;17;80;74;63;52;49;Capital;DK-84
291;Central Denmark Region;DK-82;2010-11-01;55;66;80;100;98;54;72;76;64;69;98;100;76;40;100;51;44;70;87;92;66;45;Central Denmark;DK-82
292;North Denmark Region;DK-81;2010-11-01;100;100;79;57;92;100;100;100;82;100;50;65;80;93;87;29;100;100;100;100;84;100;North Denmark;DK-81
293;Region Syddanmark;DK-83;2010-11-01;39;67;91;94;79;46;54;93;93;86;81;78;57;100;42;35;18;94;52;62;100;28;Southern Denmark;DK-83
294;Region Zealand;DK-85;2010-11-01;47;50;95;85;95;95;0;83;100;87;54;82;100;43;0;100;0;81;77;45;45;72;Zealand;DK-85
295;Capital Region of Denmark;DK-84;2010-12-01;67;76;86;91;65;45;73;69;100;62;100;53;47;88;45;49;50;42;48;67;48;35;Capital;DK-84
296;Central Denmark Region;DK-82;2010-12-01;51;100;75;100;48;60;83;60;83;75;86;60;25;100;53;17;0;49;100;94;80;30;Central Denmark;DK-82
297;North Denmark Region;DK-81;2010-12-01;100;68;82;79;100;66;61;100;55;100;64;100;54;0;87;69;0;100;57;78;77;100;North Denmark;DK-81
298;Region Syddanmark;DK-83;2010-12-01;67;89;85;95;39;80;100;85;80;78;88;48;90;80;64;50;40;53;62;100;91;0;Southern Denmark;DK-83
299;Region Zealand;DK-85;2010-12-01;61;71;100;88;98;100;56;89;57;79;96;30;100;0;100;100;100;37;74;100;100;0;Zealand;DK-85
300;Capital Region of Denmark;DK-84;2011-01-01;70;100;99;69;59;76;90;76;72;50;100;100;75;94;45;90;34;56;50;57;61;69;Capital;DK-84
301;Central Denmark Region;DK-82;2011-01-01;78;65;100;89;55;100;64;85;42;71;91;75;66;69;91;100;44;82;100;90;100;62;Central Denmark;DK-82
302;North Denmark Region;DK-81;2011-01-01;100;74;91;76;95;90;80;91;64;100;75;98;100;100;70;91;60;67;75;100;94;0;North Denmark;DK-81
303;Region Syddanmark;DK-83;2011-01-01;89;64;94;100;75;98;82;100;78;82;85;84;66;32;87;74;79;71;73;75;71;100;Southern Denmark;DK-83
304;Region Zealand;DK-85;2011-01-01;93;64;94;90;100;68;100;91;100;78;63;88;58;59;100;88;100;100;70;67;59;71;Zealand;DK-85
305;Capital Region of Denmark;DK-84;2011-02-01;84;93;100;71;70;75;36;82;61;48;100;84;76;80;84;66;17;54;61;71;57;57;Capital;DK-84
306;Central Denmark Region;DK-82;2011-02-01;100;67;82;61;72;92;61;77;41;75;90;100;45;61;94;78;43;74;69;89;70;46;Central Denmark;DK-82
307;North Denmark Region;DK-81;2011-02-01;86;100;79;69;100;25;100;83;29;100;78;40;41;100;85;44;59;100;67;100;64;100;North Denmark;DK-81
308;Region Syddanmark;DK-83;2011-02-01;76;66;83;90;75;60;49;88;53;87;50;64;100;67;81;55;52;79;85;100;100;66;Southern Denmark;DK-83
309;Region Zealand;DK-85;2011-02-01;73;60;100;100;95;100;47;100;100;85;100;68;35;42;100;100;100;73;100;72;71;42;Zealand;DK-85
310;Capital Region of Denmark;DK-84;2011-03-01;54;100;100;73;48;75;75;74;83;56;97;85;79;100;46;74;16;50;48;54;48;79;Capital;DK-84
311;Central Denmark Region;DK-82;2011-03-01;75;75;87;100;46;73;68;75;72;86;100;73;100;65;39;57;49;71;89;79;74;100;Central Denmark;DK-82
312;North Denmark Region;DK-81;2011-03-01;100;54;84;80;80;100;100;73;48;100;50;100;92;59;100;97;100;100;53;100;100;81;North Denmark;DK-81
313;Region Syddanmark;DK-83;2011-03-01;59;72;87;92;48;77;66;91;82;99;66;70;58;98;61;100;30;92;71;76;68;78;Southern Denmark;DK-83
314;Region Zealand;DK-85;2011-03-01;88;43;95;83;100;83;73;100;100;94;41;77;76;49;63;81;56;90;100;51;76;54;Zealand;DK-85
315;Capital Region of Denmark;DK-84;2011-04-01;99;100;97;93;84;40;72;72;90;56;100;60;46;78;80;67;85;50;53;47;42;68;Capital;DK-84
316;Central Denmark Region;DK-82;2011-04-01;70;87;82;82;78;93;52;80;73;81;77;47;29;61;100;48;100;100;58;71;78;89;Central Denmark;DK-82
317;North Denmark Region;DK-81;2011-04-01;83;96;88;100;97;56;85;71;46;100;46;100;100;100;78;64;0;91;73;100;100;61;North Denmark;DK-81
318;Region Syddanmark;DK-83;2011-04-01;100;75;85;92;99;62;100;89;87;96;65;54;64;66;80;57;100;94;97;72;75;40;Southern Denmark;DK-83
319;Region Zealand;DK-85;2011-04-01;79;46;100;81;100;100;82;100;100;85;50;47;28;0;75;100;0;91;100;75;83;100;Zealand;DK-85
320;Capital Region of Denmark;DK-84;2011-05-01;75;100;100;86;42;75;64;74;84;62;93;68;71;48;66;78;88;69;54;77;58;66;Capital;DK-84
321;Central Denmark Region;DK-82;2011-05-01;58;87;91;73;52;91;84;80;60;91;100;100;95;24;86;71;96;100;71;100;85;36;Central Denmark;DK-82
322;North Denmark Region;DK-81;2011-05-01;100;69;93;98;51;90;52;76;60;98;68;87;100;20;100;65;100;97;100;98;71;75;North Denmark;DK-81
323;Region Syddanmark;DK-83;2011-05-01;75;69;98;88;55;72;75;88;72;100;80;78;95;35;89;100;74;95;79;85;100;100;Southern Denmark;DK-83
324;Region Zealand;DK-85;2011-05-01;73;46;92;100;100;100;100;100;100;93;73;75;64;100;77;96;0;90;80;96;37;86;Zealand;DK-85
325;Capital Region of Denmark;DK-84;2011-06-01;62;100;92;85;55;78;100;75;53;64;96;47;59;51;67;93;11;57;44;72;58;64;Capital;DK-84
326;Central Denmark Region;DK-82;2011-06-01;69;92;82;86;62;83;79;71;49;83;95;79;58;25;63;82;100;100;66;85;84;100;Central Denmark;DK-82
327;North Denmark Region;DK-81;2011-06-01;37;49;94;98;58;85;62;80;43;100;84;89;76;100;100;68;60;92;100;100;54;58;North Denmark;DK-81
328;Region Syddanmark;DK-83;2011-06-01;100;79;88;83;86;100;72;84;62;95;100;85;100;56;92;90;46;80;76;67;100;62;Southern Denmark;DK-83
329;Region Zealand;DK-85;2011-06-01;94;57;100;100;100;41;35;100;100;99;93;100;39;31;77;100;52;71;66;61;98;74;Zealand;DK-85
330;Capital Region of Denmark;DK-84;2011-07-01;58;100;91;87;60;64;70;79;99;64;100;96;78;100;74;58;43;51;70;83;59;26;Capital;DK-84
331;Central Denmark Region;DK-82;2011-07-01;44;70;77;80;53;66;66;73;93;84;83;100;96;67;59;100;37;78;73;100;88;33;Central Denmark;DK-82
332;North Denmark Region;DK-81;2011-07-01;56;64;75;77;46;79;63;82;75;88;63;78;51;81;100;75;0;84;60;100;31;62;North Denmark;DK-81
333;Region Syddanmark;DK-83;2011-07-01;46;62;83;100;65;100;96;90;89;98;50;57;77;59;73;73;65;100;100;87;89;14;Southern Denmark;DK-83
334;Region Zealand;DK-85;2011-07-01;100;98;100;65;100;63;100;100;100;100;100;72;100;86;89;84;100;95;79;80;100;100;Zealand;DK-85
335;Capital Region of Denmark;DK-84;2011-08-01;60;100;90;78;56;68;72;80;60;51;88;100;83;70;61;52;84;65;48;64;56;43;Capital;DK-84
336;Central Denmark Region;DK-82;2011-08-01;65;71;90;90;57;71;87;70;58;81;76;92;95;36;55;72;79;70;88;86;72;78;Central Denmark;DK-82
337;North Denmark Region;DK-81;2011-08-01;68;72;95;93;69;88;0;97;57;100;34;64;100;100;47;100;94;100;89;97;100;53;North Denmark;DK-81
338;Region Syddanmark;DK-83;2011-08-01;67;78;90;100;78;80;100;94;67;98;78;91;66;21;90;59;77;94;84;85;53;100;Southern Denmark;DK-83
339;Region Zealand;DK-85;2011-08-01;100;82;100;92;100;100;81;100;100;80;100;73;97;30;100;60;100;75;100;100;48;87;Zealand;DK-85
340;Capital Region of Denmark;DK-84;2011-09-01;65;98;93;84;56;100;100;92;55;50;100;82;80;100;43;49;72;53;53;41;70;51;Capital;DK-84
341;Central Denmark Region;DK-82;2011-09-01;76;95;91;80;54;98;100;68;47;80;91;63;63;80;46;63;36;86;69;63;100;36;Central Denmark;DK-82
342;North Denmark Region;DK-81;2011-09-01;100;73;86;100;71;81;77;78;41;100;81;100;80;74;73;50;66;100;92;100;87;100;North Denmark;DK-81
343;Region Syddanmark;DK-83;2011-09-01;72;100;96;99;88;66;86;81;67;92;85;89;92;79;66;71;100;100;89;60;75;52;Southern Denmark;DK-83
344;Region Zealand;DK-85;2011-09-01;54;66;100;99;100;45;77;100;100;94;86;79;100;61;100;100;55;71;100;38;89;33;Zealand;DK-85
345;Capital Region of Denmark;DK-84;2011-10-01;60;100;76;92;55;74;66;85;58;50;100;75;71;96;54;94;38;50;55;57;42;100;Capital;DK-84
346;Central Denmark Region;DK-82;2011-10-01;74;71;76;87;48;100;73;66;42;82;67;71;67;100;40;78;85;81;69;82;59;88;Central Denmark;DK-82
347;North Denmark Region;DK-81;2011-10-01;62;90;72;97;62;55;100;68;52;100;58;100;31;40;46;100;59;93;71;92;68;90;North Denmark;DK-81
348;Region Syddanmark;DK-83;2011-10-01;78;88;73;100;63;73;67;100;71;94;59;83;100;88;65;98;65;100;100;82;100;89;Southern Denmark;DK-83
349;Region Zealand;DK-85;2011-10-01;100;59;100;85;100;60;84;99;100;93;53;90;78;67;100;60;100;78;100;100;68;38;Zealand;DK-85
350;Capital Region of Denmark;DK-84;2011-11-01;68;96;90;82;64;85;51;68;72;49;100;100;65;96;41;64;91;52;38;56;53;85;Capital;DK-84
351;Central Denmark Region;DK-82;2011-11-01;67;100;80;72;75;83;54;51;54;84;71;74;61;93;65;60;72;83;47;72;92;100;Central Denmark;DK-82
352;North Denmark Region;DK-81;2011-11-01;60;71;72;55;70;93;100;54;49;100;79;77;79;78;100;76;100;93;55;100;87;55;North Denmark;DK-81
353;Region Syddanmark;DK-83;2011-11-01;100;82;80;87;76;100;61;78;58;82;55;86;100;86;68;55;44;100;53;63;75;73;Southern Denmark;DK-83
354;Region Zealand;DK-85;2011-11-01;68;64;100;100;100;70;85;100;100;91;59;77;67;100;76;100;84;54;100;76;100;46;Zealand;DK-85
355;Capital Region of Denmark;DK-84;2011-12-01;98;92;97;78;55;80;81;70;67;50;100;77;71;100;64;69;62;51;51;54;67;44;Capital;DK-84
356;Central Denmark Region;DK-82;2011-12-01;84;64;88;73;56;100;72;53;61;92;84;94;100;82;74;79;24;85;58;82;78;9;Central Denmark;DK-82
357;North Denmark Region;DK-81;2011-12-01;89;81;93;84;51;73;92;47;35;100;74;96;56;95;100;41;66;78;100;100;100;100;North Denmark;DK-81
358;Region Syddanmark;DK-83;2011-12-01;92;62;81;100;56;95;53;85;66;78;67;100;67;66;87;75;100;100;66;81;76;54;Southern Denmark;DK-83
359;Region Zealand;DK-85;2011-12-01;100;100;100;88;100;79;100;100;100;78;78;42;91;46;86;100;81;63;89;66;94;20;Zealand;DK-85
360;Capital Region of Denmark;DK-84;2012-01-01;61;93;94;78;47;89;75;70;67;47;100;100;92;57;63;60;61;64;56;58;52;85;Capital;DK-84
361;Central Denmark Region;DK-82;2012-01-01;77;92;78;83;45;100;54;56;56;83;73;80;76;70;78;89;100;81;76;82;78;100;Central Denmark;DK-82
362;North Denmark Region;DK-81;2012-01-01;81;76;91;89;57;89;66;65;52;100;67;43;78;100;81;86;94;91;75;100;86;41;North Denmark;DK-81
363;Region Syddanmark;DK-83;2012-01-01;97;86;100;80;62;80;95;100;62;72;71;65;82;96;100;81;41;100;85;72;61;87;Southern Denmark;DK-83
364;Region Zealand;DK-85;2012-01-01;100;100;96;100;100;73;100;100;100;83;96;72;100;72;97;100;39;93;100;67;100;83;Zealand;DK-85
365;Capital Region of Denmark;DK-84;2012-02-01;100;100;90;84;42;84;100;78;78;47;100;81;61;100;72;80;58;54;40;55;61;38;Capital;DK-84
366;Central Denmark Region;DK-82;2012-02-01;99;97;87;85;50;52;77;57;71;77;75;80;82;50;85;69;81;85;50;70;88;47;Central Denmark;DK-82
367;North Denmark Region;DK-81;2012-02-01;86;66;90;88;48;70;40;65;60;100;78;75;76;76;58;69;91;95;47;100;100;82;North Denmark;DK-81
368;Region Syddanmark;DK-83;2012-02-01;66;74;93;100;65;76;52;100;85;72;89;74;100;66;100;82;100;100;57;68;85;100;Southern Denmark;DK-83
369;Region Zealand;DK-85;2012-02-01;67;79;100;89;100;100;66;97;100;77;65;100;56;54;73;100;77;77;100;69;97;82;Zealand;DK-85
370;Capital Region of Denmark;DK-84;2012-03-01;98;100;96;75;62;100;67;66;62;50;100;68;52;100;61;68;18;52;46;57;61;38;Capital;DK-84
371;Central Denmark Region;DK-82;2012-03-01;100;82;95;69;68;76;77;60;51;83;82;54;50;62;57;67;71;87;61;67;87;27;Central Denmark;DK-82
372;North Denmark Region;DK-81;2012-03-01;90;80;100;72;100;89;54;52;54;100;69;100;100;93;80;78;26;93;100;100;90;60;North Denmark;DK-81
373;Region Syddanmark;DK-83;2012-03-01;77;69;100;100;65;73;60;93;77;74;71;69;74;60;100;69;34;100;73;76;100;32;Southern Denmark;DK-83
374;Region Zealand;DK-85;2012-03-01;99;81;99;98;89;82;100;100;100;79;87;57;56;88;95;100;100;79;80;83;99;100;Zealand;DK-85
375;Capital Region of Denmark;DK-84;2012-04-01;82;100;92;86;67;94;60;71;96;60;93;82;69;87;75;67;67;61;52;65;57;100;Capital;DK-84
376;Central Denmark Region;DK-82;2012-04-01;100;87;88;80;58;74;100;65;66;88;78;64;59;100;75;86;100;77;76;100;72;19;Central Denmark;DK-82
377;North Denmark Region;DK-81;2012-04-01;88;75;99;96;80;57;77;59;54;100;79;100;68;68;95;100;39;83;100;72;70;52;North Denmark;DK-81
378;Region Syddanmark;DK-83;2012-04-01;93;81;100;100;96;100;62;100;80;94;87;88;100;42;87;97;59;82;77;73;100;46;Southern Denmark;DK-83
379;Region Zealand;DK-85;2012-04-01;68;80;88;94;100;87;64;97;100;73;100;48;38;56;100;74;64;100;91;79;90;87;Zealand;DK-85
380;Capital Region of Denmark;DK-84;2012-05-01;100;100;99;79;80;79;58;71;66;60;100;81;64;55;57;71;52;72;54;68;59;32;Capital;DK-84
381;Central Denmark Region;DK-82;2012-05-01;82;79;91;84;99;69;78;69;53;83;83;78;80;33;58;100;71;82;66;100;100;38;Central Denmark;DK-82
382;North Denmark Region;DK-81;2012-05-01;53;78;88;79;100;88;61;74;63;100;78;100;100;100;61;61;86;100;93;81;87;90;North Denmark;DK-81
383;Region Syddanmark;DK-83;2012-05-01;81;64;98;98;77;100;100;100;78;86;84;90;70;46;94;92;100;93;100;77;86;33;Southern Denmark;DK-83
384;Region Zealand;DK-85;2012-05-01;95;81;100;100;98;81;71;93;100;93;96;66;73;32;100;61;96;70;93;87;99;100;Zealand;DK-85
385;Capital Region of Denmark;DK-84;2012-06-01;83;96;92;86;84;66;70;73;74;57;100;82;70;76;75;62;65;63;62;73;58;46;Capital;DK-84
386;Central Denmark Region;DK-82;2012-06-01;63;100;88;68;91;65;46;66;56;80;70;74;64;94;66;67;36;77;87;100;100;72;Central Denmark;DK-82
387;North Denmark Region;DK-81;2012-06-01;100;68;89;79;73;100;100;80;42;100;76;100;100;100;100;69;100;100;100;97;68;100;North Denmark;DK-81
388;Region Syddanmark;DK-83;2012-06-01;88;74;100;100;100;89;99;91;72;85;78;79;62;65;88;80;72;84;86;79;72;37;Southern Denmark;DK-83
389;Region Zealand;DK-85;2012-06-01;95;62;96;99;87;81;59;100;100;76;73;38;91;72;99;100;55;72;90;98;91;23;Zealand;DK-85
390;Capital Region of Denmark;DK-84;2012-07-01;85;100;100;87;61;71;100;64;70;64;96;90;81;63;67;46;62;56;63;62;67;68;Capital;DK-84
391;Central Denmark Region;DK-82;2012-07-01;69;65;96;86;35;47;32;72;71;83;100;100;100;78;59;55;63;88;78;84;100;95;Central Denmark;DK-82
392;North Denmark Region;DK-81;2012-07-01;63;78;82;89;100;78;41;76;64;100;71;72;68;100;63;100;72;100;84;100;85;61;North Denmark;DK-81
393;Region Syddanmark;DK-83;2012-07-01;100;57;91;76;64;100;72;88;80;81;88;61;70;43;74;97;100;88;94;76;94;26;Southern Denmark;DK-83
394;Region Zealand;DK-85;2012-07-01;73;54;97;100;99;86;70;100;100;82;82;77;90;37;100;70;59;80;100;72;66;100;Zealand;DK-85
395;Capital Region of Denmark;DK-84;2012-08-01;80;100;97;80;66;79;73;62;71;65;96;96;81;100;81;55;41;61;51;66;69;55;Capital;DK-84
396;Central Denmark Region;DK-82;2012-08-01;76;96;97;73;86;100;100;63;60;84;80;100;100;64;97;71;36;88;71;95;86;41;Central Denmark;DK-82
397;North Denmark Region;DK-81;2012-08-01;100;61;82;75;76;95;99;84;77;99;66;85;65;37;92;73;51;90;100;92;100;29;North Denmark;DK-81
398;Region Syddanmark;DK-83;2012-08-01;92;66;100;96;86;75;49;88;90;100;100;87;82;48;100;62;100;100;71;100;100;100;Southern Denmark;DK-83
399;Region Zealand;DK-85;2012-08-01;91;89;96;100;100;98;96;100;100;78;70;61;26;35;62;100;73;70;85;83;63;28;Zealand;DK-85
400;Capital Region of Denmark;DK-84;2012-09-01;71;100;94;80;70;70;67;59;64;56;100;69;61;89;57;47;58;68;60;69;62;50;Capital;DK-84
401;Central Denmark Region;DK-82;2012-09-01;53;97;96;82;63;68;84;63;54;68;85;63;51;77;64;58;95;83;83;97;100;100;Central Denmark;DK-82
402;North Denmark Region;DK-81;2012-09-01;100;43;90;100;73;75;52;73;43;100;88;57;74;78;73;100;27;89;100;100;77;29;North Denmark;DK-81
403;Region Syddanmark;DK-83;2012-09-01;62;65;96;89;92;76;82;73;61;89;84;100;65;100;71;61;100;94;89;86;91;63;Southern Denmark;DK-83
404;Region Zealand;DK-85;2012-09-01;57;84;100;76;100;100;100;100;100;73;90;86;100;46;100;45;66;100;95;91;80;69;Zealand;DK-85
405;Capital Region of Denmark;DK-84;2012-10-01;80;100;92;85;52;52;38;71;64;56;100;88;76;99;55;47;45;64;57;68;59;58;Capital;DK-84
406;Central Denmark Region;DK-82;2012-10-01;65;77;87;75;58;56;78;77;50;70;94;90;100;76;74;48;80;82;70;78;84;47;Central Denmark;DK-82
407;North Denmark Region;DK-81;2012-10-01;92;75;89;82;91;50;100;80;56;100;96;87;40;76;57;98;100;100;100;100;69;64;North Denmark;DK-81
408;Region Syddanmark;DK-83;2012-10-01;83;56;88;100;75;100;63;87;73;82;77;64;63;91;84;52;84;76;66;91;95;69;Southern Denmark;DK-83
